,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Port Credit,908,b,1132,a,1313,a,1648,b,1239,a 
Princess-Rosethorn,,,,,,,,,,
Rexdale-Kipling,743,c,963,a,1105,a,1287,b,1115,a 
Richmond Hill/Vaughan/King,1020,b,1145,a,1373,a,1591,b,1289,a 
Riverdale,853,d,1189,a,1393,d,,,1199,b 
Rockcliffe-Smythe,890,a,1068,b,1268,a,,,1159,b 
Roncesvalles,942,a,1103,b,1465,b,,,1186,b 
Rosedale,,,,,,,,,,
Rouge,,,,,1163,a,1305,a,1162,a 
Rustic/Pelmo Park/Humberlea,,,1019,d,1135,d,,,1099,d 
Scarborough Village,931,a,1126,a,1253,a,1453,b,1241,a 
South Parkdale/King West,925,a,1102,a,1281,b,,,1087,a 
St. Andrew-Windfields,905,b,1287,a,1491,b,1735,b,1463,a 
Stonegate-Queensway,906,c,1052,a,1176,a,1479,c,1112,a 
Tam O'Shanter-Sullivan,925,a,1120,a,1273,a,1482,a,1233,a 
The Beaches,898,b,1241,b,1335,b,,,1241,a 
Thorncliffe Park,861,a,1128,a,1408,a,1811,a,1317,a 
University/Annex,1171,b,1430,b,1956,c,,,1506,c 
Uxbridge,,,,,,,,,,
Victoria Village,891,a,1124,a,1318,a,1586,a,1225,a 
Waterfront Communities -The Island,,,1841,a,2256,a,,,1983,a 
West Hill,1033,a,1053,a,1160,a,1413,a,1192,a 
West Humber-Clairville,858,a,1034,a,1170,a,1617,a,1250,a 
Westminster-Branson,1023,a,1301,a,1504,a,1666,a,1468,a 
Weston,826,b,1080,b,1262,a,1441,b,1156,a 
Wexford-Maryvale,922,a,1060,a,1204,a,1321,a,1128,a 
Whitchurch/Stouffville,,,,,,,,,,
Willowdale East/Newtonbrook East,,,1465,a,1861,a,2223,a,1691,a 
Willowdale West/Newtonbrook West,,,1292,a,1492,a,1696,b,1419,a 
Willowridge-Martingrove-Richview,,,1158,a,1558,b,1782,b,1521,b 
Woburn,916,a,1098,a,1231,a,1336,b,1201,a 
Woodbine Corridor/Greenwood-Coxwell,810,b,1201,d,,,,,1116,c 
Woodbine-Lumsden,,,1116,d,,,,,1239,d 
Wychwood,,,1196,c,,,,,,
Yonge-Eglinton,1088,b,1394,a,1795,b,,,1429,a 
Yonge-St. Clair,1180,a,1412,b,1966,c,,,1626,c 
Yorkdale-Glen Park,,,1100,b,1276,b,1518,a,1215,a 
Toronto,1081,a,1261,a,1468,a,1647,a,1370,a 
